task_id,baseline_success,verify_success,repair_success,baseline_reward,verify_reward,repair_reward,baseline_steps,verify_steps,repair_steps,baseline_actions,verify_actions,repair_actions,baseline_vs_verify_first_diff_step,baseline_vs_verify_first_diff_prompt_sha_equal,baseline_vs_repair_first_diff_step,result_change_baseline_to_repair,reward_delta_baseline_to_repair,first_rule_risk_step,first_llm_verified_error_step,first_repair_hint_step,pre_repair_attempt_count,post_hint_created_count,repair_hint_applied_count,repair_hint_followed_count,repair_hint_ignored_count,notes
0,False,False,False,0.0,0.0,0.0,15,15,15,search[double sided machine washable decorative pillows 28x28 printing technology under 50 dollars] | click[b08k7ldm7q] | click[< prev] | click[b08k7ldm7q] | click[< prev] | click[b08k7ldm7q] | click[< prev] | click[b08k7ldm7q] | click[< prev] | click[b08k7ldm7q] | click[< prev] | click[b08k7ldm7q] | click[< prev] | click[b08k7ldm7q] | click[< prev],search[double sided machine washable decorative pillows 28x28 printing technology under 50 dollars] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >],search[double sided machine washable decorative pillows 28x28 printing technology under 50 dollars] | click[next >] | click[next >] | click[next >] | click[b07bb1fjv8] | click[back to search] | search[double sided machine washable decorative pillows 28x28 printing technology under 50 dollars] | click[b08k7ldm7q] | click[back to search] | search[double sided machine washable decorative pillows 28x28 printing technology under 50 dollars] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >],1,True,1,fail_to_fail,0.0,3,3,3,0,2,1,1,0,risk detected but hint ineffective; step budget exhausted
1,True,True,True,0.42857142857142855,0.42857142857142855,0.42857142857142855,3,3,3,search[butt lifting light weight women's shorts high waist tummy control black 3x-large under 30 dollars] | click[b09qcvcyvy] | click[buy now],search[butt lifting light weight women's shorts high waist tummy control black 3x-large under 30 dollars] | click[b09qcvcyvy] | click[buy now],search[butt lifting light weight women's shorts high waist tummy control black 3x-large under 30 dollars] | click[b09qcvcyvy] | click[buy now],,,,success_to_success,0.0,,,,0,0,0,0,0,
2,True,True,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,5,5,5,search[turtles african american couple solid wood wall art 8x10 inch under 50 dollars] | click[b08nxthm2w] | click[b08nxthm2w] | click[b08nxthm2w] | click[buy now],search[turtles african american couple solid wood wall art 8x10 inch under 50 dollars] | click[b08nxthm2w] | click[b08nxthm2w] | click[b08nxthm2w] | click[buy now],search[turtles african american couple solid wood wall art 8x10 inch under 50 dollars] | click[b08nxthm2w] | click[b08nxthm2w] | click[b08nxthm2w] | click[buy now],,,,success_to_success,0.0,3,3,3,0,1,1,1,0,
3,True,True,True,1.0,1.0,1.0,13,13,13,search[dual band streaming media players quad core price less than 340] | click[b09lskqf8c] | click[b09lskqf8c] | click[description] | click[back to search] | search[dual band streaming media players quad core price less than 340] | click[next >] | click[next >] | click[b09swlppvq] | click[back to search] | search[dual band streaming media players quad core under 340] | click[b09lskqf8c] | click[buy now],search[dual band streaming media players quad core price less than 340] | click[b09lskqf8c] | click[b09lskqf8c] | click[description] | click[back to search] | search[dual band streaming media players quad core price less than 340] | click[next >] | click[next >] | click[b09swlppvq] | click[back to search] | search[dual band streaming media players quad core under 340] | click[b09lskqf8c] | click[buy now],search[dual band streaming media players quad core price less than 340] | click[b09lskqf8c] | click[b09lskqf8c] | click[description] | click[back to search] | search[dual band streaming media players quad core price less than 340] | click[next >] | click[next >] | click[b09swlppvq] | click[back to search] | search[dual band streaming media players quad core under 340] | click[b09lskqf8c] | click[buy now],,,,success_to_success,0.0,,,,0,0,0,0,0,
4,True,True,True,0.8888888888888888,0.8888888888888888,0.8888888888888888,12,12,12,search[hand wash women's long sleeve stretch polyester spandex teen girls daily wear xnj-tshirt334-gray x-large under 40.00] | click[next >] | click[b09krlgsc5] | click[description] | click[back to search] | click[value] | search[hand wash women's long sleeve stretch polyester spandex teen girls daily wear xnj-tshirt334-gray x-large under 40.00] | click[b09m63b87v] | click[x-large] | click[x-large] | click[x-large] | click[buy now],search[hand wash women's long sleeve stretch polyester spandex teen girls daily wear xnj-tshirt334-gray x-large under 40.00] | click[next >] | click[b09krlgsc5] | click[description] | click[back to search] | click[value] | search[hand wash women's long sleeve stretch polyester spandex teen girls daily wear xnj-tshirt334-gray x-large under 40.00] | click[b09m63b87v] | click[x-large] | click[x-large] | click[x-large] | click[buy now],search[hand wash women's long sleeve stretch polyester spandex teen girls daily wear xnj-tshirt334-gray x-large under 40.00] | click[next >] | click[b09krlgsc5] | click[description] | click[back to search] | click[value] | search[hand wash women's long sleeve stretch polyester spandex teen girls daily wear xnj-tshirt334-gray x-large under 40.00] | click[b09m63b87v] | click[x-large] | click[x-large] | click[x-large] | click[buy now],,,,success_to_success,0.0,10,10,10,0,1,1,1,0,
5,False,False,True,0.0,0.0,0.2857142857142857,15,15,12,search[machine wash men's dress shirts cotton spandex classic fit short sleeve black xx-large tall under 60.00] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >],search[machine wash men's dress shirts cotton spandex classic fit short sleeve black xx-large tall under 60.00] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >],search[machine wash men's dress shirts cotton spandex classic fit short sleeve black xx-large tall under 60.00] | click[next >] | click[next >] | click[next >] | click[b07fd13lp1] | click[back to search] | search[machine wash men's dress shirts cotton spandex classic fit short sleeve black xx-large tall under 60.00] | click[next >] | click[next >] | click[b07f2g93bj] | click[b07f2g93bj] | click[buy now],,,4,fail_to_success,0.285714,3,3,3,0,1,1,1,0,repair_success; first_rule_risk=3; first_verified_error=3; first_hint=3
6,True,True,True,0.5714285714285714,0.5714285714285714,0.5714285714285714,7,7,7,search[men's shorts elastic waist classic fit short sleeve gym workout navy x-large under 40] | click[b07wmmyb6g] | click[value] | click[#2 navy] | click[38] | click[38] | click[Buy Now],search[men's shorts elastic waist classic fit short sleeve gym workout navy x-large under 40] | click[b07wmmyb6g] | click[value] | click[#2 navy] | click[38] | click[38] | click[Buy Now],search[men's shorts elastic waist classic fit short sleeve gym workout navy x-large under 40] | click[b07wmmyb6g] | click[value] | click[#2 navy] | click[38] | click[38] | click[Buy Now],,,,success_to_success,0.0,,,,0,0,0,0,0,
7,False,False,True,0.0,0.0,0.6666666666666666,15,15,15,search[loose fit women's tops tees blouses short sleeve long sleeve color b3-wine size large price lower than 50.00 dollars] | click[next >] | click[next >] | click[b09hgfv91w] | click[back to search] | click[value] | search[loose fit women's tops tees blouses short sleeve long sleeve color b3-wine size large price lower than 50.00 dollars] | click[b09npml43m] | click[b17-wine\xa0red] | click[large] | click[b09npml43m] | click[b09npml43m] | click[b09npml43m] | click[b09npml43m] | click[b09npml43m],search[loose fit women's tops tees blouses short sleeve long sleeve color b3-wine size large price lower than 50.00 dollars] | click[next >] | click[next >] | click[b09hgfv91w] | click[back to search] | click[value] | search[loose fit women's tops tees blouses short sleeve long sleeve color b3-wine size large price lower than 50.00 dollars] | click[b09npml43m] | click[b17-wine\xa0red] | click[large] | click[b09npml43m] | click[b09npml43m] | click[b09npml43m] | click[b09npml43m] | click[b09npml43m],search[loose fit women's tops tees blouses short sleeve long sleeve color b3-wine size large price lower than 50.00 dollars] | click[next >] | click[next >] | click[b09hgfv91w] | click[back to search] | click[value] | search[loose fit women's tops tees blouses short sleeve long sleeve color b3-wine size large price lower than 50.00 dollars] | click[b09npml43m] | click[b17-wine\xa0red] | click[large] | click[b09npml43m] | click[b09npml43m] | click[b09npml43m] | click[b09npml43m] | click[b09npml43m],,,,fail_to_success,0.666667,12,12,12,2,2,2,0,2,repair_success; first_rule_risk=12; first_verified_error=12; first_hint=12
8,True,True,True,0.09090909090909091,0.09090909090909091,0.09090909090909091,5,5,5,search[wash cold machine wash men's shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color brown fit type youth size medium price lower than 40.00 dollars] | click[next >] | click[next >] | click[b09nnmv9ln] | click[buy now],search[wash cold machine wash men's shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color brown fit type youth size medium price lower than 40.00 dollars] | click[next >] | click[next >] | click[b09nnmv9ln] | click[buy now],search[wash cold machine wash men's shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color brown fit type youth size medium price lower than 40.00 dollars] | click[next >] | click[next >] | click[b09nnmv9ln] | click[buy now],,,,success_to_success,0.0,,,,0,0,0,0,0,
9,True,True,True,0.42857142857142855,0.42857142857142855,0.42857142857142855,6,6,6,search[machine wash moisture wicking men's t-shirts & tanks polyester spandex long sleeve color: blue | red size: xx-large price lower than 40.00 dollars] | click[next >] | click[b09hgfv91w] | click[xx-large] | click[xx-large] | click[buy now],search[machine wash moisture wicking men's t-shirts & tanks polyester spandex long sleeve color: blue | red size: xx-large price lower than 40.00 dollars] | click[next >] | click[b09hgfv91w] | click[xx-large] | click[xx-large] | click[buy now],search[machine wash moisture wicking men's t-shirts & tanks polyester spandex long sleeve color: blue | red size: xx-large price lower than 40.00 dollars] | click[next >] | click[b09hgfv91w] | click[xx-large] | click[xx-large] | click[buy now],,,,success_to_success,0.0,,,,0,0,0,0,0,
